"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
62,"1987-03-13","CHI","","DET","L",1,"36:00",7,22,0.32,0,0,NA,10,13,0.77,1,3,4,3,0,0,2,2,24,11.1,"Michael Jordan","Regular Season"
63,"1987-03-14","CHI","@","WSB","L",1,"47:00",5,20,0.25,0,0,NA,3,3,1,1,6,7,8,4,2,7,0,13,7.5,"Michael Jordan","Regular Season"
64,"1987-03-16","CHI","@","HOU","L",1,"43:00",15,28,0.54,0,1,0,14,14,1,1,3,4,5,4,0,4,5,44,33.5,"Michael Jordan","Regular Season"
65,"1987-03-17","CHI","@","DAL","L",1,"42:00",7,21,0.33,1,2,0.5,6,7,0.86,0,3,3,9,0,0,3,3,21,11.7,"Michael Jordan","Regular Season"
66,"1987-03-19","CHI","@","LAC","W",1,"41:00",14,23,0.61,1,1,1,11,11,1,3,4,7,3,2,4,2,4,40,36.1,"Michael Jordan","Regular Season"
67,"1987-03-21","CHI","@","SAC","W",1,"44:00",13,25,0.52,0,1,0,14,15,0.93,1,2,3,5,4,0,7,2,40,28.3,"Michael Jordan","Regular Season"
68,"1987-03-22","CHI","@","POR","L",1,"43:00",14,26,0.54,0,2,0,18,20,0.9,0,1,1,6,4,0,7,3,46,32.9,"Michael Jordan","Regular Season"
69,"1987-03-24","CHI","","PHI","W",1,"44:00",22,32,0.69,0,1,0,12,15,0.8,1,6,7,3,NA,0,7,2,56,NA,"Michael Jordan","Regular Season"
70,"1987-03-26","CHI","@","NJN","L",1,"43:00",14,30,0.47,0,0,NA,12,14,0.86,1,5,6,7,4,1,4,1,40,31.2,"Michael Jordan","Regular Season"
71,"1987-03-27","CHI","","BOS","L",1,"40:00",9,23,0.39,0,0,NA,4,5,0.8,3,4,7,7,7,1,3,3,22,20.8,"Michael Jordan","Regular Season"
72,"1987-03-29","CHI","","NYK","W",1,"40:00",13,24,0.54,0,2,0,7,9,0.78,0,1,1,8,4,1,1,3,33,NA,"Michael Jordan","Regular Season"
73,"1987-03-31","CHI","","WSB","W",1,"34:00",12,18,0.67,0,0,NA,12,14,0.86,0,3,3,4,3,1,4,2,36,NA,"Michael Jordan","Regular Season"
74,"1987-04-01","CHI","@","IND","L",1,"41:00",10,25,0.4,1,3,0.33,5,6,0.83,2,7,9,7,5,3,3,5,26,22.6,"Michael Jordan","Regular Season"
75,"1987-04-03","CHI","@","WSB","L",1,"45:00",13,22,0.59,1,2,0.5,5,5,1,1,1,2,7,2,1,4,4,32,24.8,"Michael Jordan","Regular Season"
76,"1987-04-04","CHI","@","ATL","L",1,"35:00",9,24,0.38,0,1,0,13,13,1,5,1,6,7,1,0,1,3,31,25.3,"Michael Jordan","Regular Season"
77,"1987-04-07","CHI","","DET","W",1,"26:00",13,21,0.62,0,0,NA,13,16,0.81,2,3,5,4,4,1,3,0,39,35.1,"Michael Jordan","Regular Season"
78,"1987-04-10","CHI","@","PHI","L",1,"50:00",11,31,0.35,0,1,0,12,15,0.8,3,3,6,10,3,1,3,3,34,NA,"Michael Jordan","Regular Season"
79,"1987-04-12","CHI","","IND","W",1,"42:00",19,27,0.7,0,0,NA,15,18,0.83,2,2,4,8,4,2,3,2,53,49.7,"Michael Jordan","Regular Season"
80,"1987-04-13","CHI","@","MIL","W",1,"41:00",16,31,0.52,0,1,0,18,22,0.82,1,8,9,4,4,3,1,5,50,NA,"Michael Jordan","Regular Season"
81,"1987-04-16","CHI","","ATL","L",1,"41:00",22,38,0.58,0,3,0,17,21,0.81,5,5,10,1,4,1,3,3,61,NA,"Michael Jordan","Regular Season"
82,"1987-04-17","CHI","@","BOS","L",1,"25:00",5,15,0.33,0,0,NA,7,7,1,1,3,4,8,0,2,1,2,17,15.3,"Michael Jordan","Regular Season"
1,"1987-11-07","CHI","","PHI","W",1,"38:00",15,25,0.6,0,0,NA,6,10,0.6,2,3,5,3,6,4,2,3,36,32.9,"Michael Jordan","Regular Season"
2,"1987-11-10","CHI","@","ATL","W",1,"42:00",11,23,0.48,1,3,0.33,6,9,0.67,0,6,6,7,1,1,3,3,29,20.3,"Michael Jordan","Regular Season"
3,"1987-11-11","CHI","@","NJN","W",1,"40:00",10,20,0.5,0,1,0,11,13,0.85,1,2,3,4,2,0,5,4,31,19.7,"Michael Jordan","Regular Season"
4,"1987-11-13","CHI","","NJN","W",1,"35:00",10,19,0.53,0,0,NA,16,17,0.94,3,4,7,5,6,1,3,1,36,36.4,"Michael Jordan","Regular Season"
5,"1987-11-14","CHI","","IND","L",1,"40:00",14,29,0.48,0,0,NA,9,11,0.82,3,2,5,5,4,1,3,3,37,28.2,"Michael Jordan","Regular Season"
6,"1987-11-17","CHI","","WSB","W",1,"36:00",10,18,0.56,0,0,NA,6,6,1,0,3,3,7,2,1,3,3,26,21.7,"Michael Jordan","Regular Season"
7,"1987-11-18","CHI","@","WSB","W",1,"40:00",9,21,0.43,0,1,0,12,12,1,1,2,3,8,3,1,2,3,30,26.3,"Michael Jordan","Regular Season"
8,"1987-11-20","CHI","","ATL","W",1,"40:00",10,22,0.45,0,0,NA,13,14,0.93,0,7,7,7,4,4,2,3,33,31.8,"Michael Jordan","Regular Season"
9,"1987-11-21","CHI","","DET","L",1,"44:00",17,38,0.45,0,2,0,15,17,0.88,2,4,6,8,6,1,4,6,49,36.9,"Michael Jordan","Regular Season"
10,"1987-11-23","CHI","@","BOS","W",1,"41:00",12,26,0.46,0,0,NA,7,10,0.7,4,6,10,3,4,0,5,5,31,20.1,"Michael Jordan","Regular Season"
11,"1987-11-25","CHI","@","MIL","W",1,"39:00",13,24,0.54,0,1,0,7,8,0.88,1,2,3,6,3,1,1,5,33,27.2,"Michael Jordan","Regular Season"
12,"1987-11-27","CHI","@","DAL","L",1,"45:00",8,20,0.4,0,1,0,9,9,1,1,5,6,9,3,1,3,2,25,22.6,"Michael Jordan","Regular Season"
13,"1987-11-28","CHI","@","HOU","W",1,"41:00",12,22,0.55,0,1,0,10,10,1,3,4,7,6,4,2,7,4,34,27.7,"Michael Jordan","Regular Season"
14,"1987-12-01","CHI","@","GSW","W",1,"40:00",6,15,0.4,0,0,NA,4,6,0.67,0,6,6,9,3,1,3,2,16,15.1,"Michael Jordan","Regular Season"
15,"1987-12-02","CHI","@","UTA","W",1,"39:00",17,27,0.63,0,0,NA,13,16,0.81,2,2,4,9,3,3,2,4,47,NA,"Michael Jordan","Regular Season"
16,"1987-12-04","CHI","@","DEN","L",1,"35:00",9,15,0.6,1,1,1,4,5,0.8,1,3,4,5,4,0,4,4,23,19.2,"Michael Jordan","Regular Season"
17,"1987-12-05","CHI","@","SAS","L",1,"40:00",15,22,0.68,0,2,0,10,12,0.83,1,1,2,8,1,0,6,3,40,30.2,"Michael Jordan","Regular Season"
18,"1987-12-08","CHI","","PHI","L",1,"42:00",14,26,0.54,0,1,0,5,6,0.83,1,4,5,10,3,3,7,4,33,25.4,"Michael Jordan","Regular Season"
19,"1987-12-10","CHI","","MIL","W",1,"40:00",11,18,0.61,0,0,NA,10,11,0.91,1,6,7,4,3,1,3,2,32,28.6,"Michael Jordan","Regular Season"
20,"1987-12-12","CHI","","HOU","W",1,"40:00",16,28,0.57,0,0,NA,12,12,1,0,3,3,9,5,5,3,3,44,NA,"Michael Jordan","Regular Season"
21,"1987-12-15","CHI","@","DET","L",1,"50:00",12,26,0.46,1,2,0.5,13,16,0.81,3,5,8,12,3,1,2,6,38,34.7,"Michael Jordan","Regular Season"
22,"1987-12-17","CHI","","CLE","W",1,"41:00",20,31,0.65,0,0,NA,12,12,1,0,3,3,6,4,1,2,2,52,NA,"Michael Jordan","Regular Season"
23,"1987-12-19","CHI","@","WSB","L",1,"43:00",12,23,0.52,0,0,NA,6,8,0.75,0,2,2,7,3,2,2,3,30,24.6,"Michael Jordan","Regular Season"
24,"1987-12-22","CHI","","DAL","L",1,"41:00",11,20,0.55,0,1,0,6,7,0.86,4,2,6,7,4,2,4,4,28,26.1,"Michael Jordan","Regular Season"
25,"1987-12-23","CHI","@","NYK","L",1,"39:00",5,15,0.33,0,0,NA,6,9,0.67,1,4,5,2,3,0,2,3,16,9.4,"Michael Jordan","Regular Season"
26,"1987-12-26","CHI","@","IND","L",1,"34:00",6,22,0.27,0,0,NA,5,6,0.83,2,4,6,6,0,2,5,3,17,5.6,"Michael Jordan","Regular Season"
27,"1987-12-29","CHI","","ATL","L",1,"43:00",16,37,0.43,0,2,0,7,9,0.78,6,2,8,6,5,0,2,5,39,28.7,"Michael Jordan","Regular Season"
28,"1988-01-02","CHI","","NJN","W",1,"37:00",9,19,0.47,0,0,NA,7,7,1,3,7,10,10,6,3,1,4,25,NA,"Michael Jordan","Regular Season"
29,"1988-01-05","CHI","","IND","W",1,"38:00",12,20,0.6,0,0,NA,7,8,0.88,6,5,11,9,4,5,2,5,31,36.9,"Michael Jordan","Regular Season"
30,"1988-01-07","CHI","","DEN","W",1,"42:00",11,22,0.5,0,0,NA,6,11,0.55,3,6,9,5,6,4,3,2,28,27.4,"Michael Jordan","Regular Season"
31,"1988-01-09","CHI","","UTA","W",1,"38:00",17,23,0.74,0,0,NA,11,14,0.79,1,2,3,8,4,0,1,3,45,43.2,"Michael Jordan","Regular Season"
32,"1988-01-12","CHI","","BOS","L",1,"43:00",19,35,0.54,0,1,0,4,5,0.8,2,2,4,6,3,1,0,0,42,34.6,"Michael Jordan","Regular Season"
33,"1988-01-14","CHI","@","CLE","L",1,"45:00",12,24,0.5,0,1,0,4,6,0.67,3,1,4,7,1,2,4,3,28,19.7,"Michael Jordan","Regular Season"
34,"1988-01-16","CHI","","DET","W",1,"38:00",12,26,0.46,0,0,NA,12,13,0.92,4,6,10,10,4,4,3,3,36,36.4,"Michael Jordan","Regular Season"
35,"1988-01-18","CHI","","WSB","W",1,"39:00",13,19,0.68,0,0,NA,7,10,0.7,0,3,3,7,5,0,2,4,33,30.9,"Michael Jordan","Regular Season"
36,"1988-01-19","CHI","@","ATL","L",1,"41:00",14,22,0.64,0,0,NA,10,10,1,0,3,3,4,3,1,2,0,38,33.6,"Michael Jordan","Regular Season"
37,"1988-01-22","CHI","","PHO","W",1,"38:00",17,25,0.68,0,0,NA,8,8,1,0,4,4,13,4,4,2,2,42,NA,"Michael Jordan","Regular Season"
38,"1988-01-23","CHI","","GSW","W",1,"38:00",13,19,0.68,0,0,NA,10,13,0.77,3,4,7,8,3,1,2,5,36,NA,"Michael Jordan","Regular Season"
39,"1988-01-26","CHI","@","IND","L",1,"40:00",13,26,0.5,1,1,1,7,10,0.7,2,5,7,5,2,1,6,5,34,20.9,"Michael Jordan","Regular Season"
40,"1988-01-27","CHI","@","PHI","W",1,"46:00",12,21,0.57,1,1,1,12,12,1,2,2,4,7,2,1,2,5,37,32.7,"Michael Jordan","Regular Season"
41,"1988-01-29","CHI","","NJN","W",1,"27:00",14,18,0.78,0,0,NA,4,5,0.8,0,1,1,4,NA,2,3,1,32,35.7,"Michael Jordan","Regular Season"
42,"1988-01-30","CHI","","NYK","W",1,"44:00",10,17,0.59,0,1,0,8,8,1,1,4,5,4,2,4,5,3,28,23.4,"Michael Jordan","Regular Season"
43,"1988-02-01","CHI","@","SAC","L",1,"40:00",13,31,0.42,0,0,NA,11,15,0.73,0,5,5,3,5,2,4,4,37,23.3,"Michael Jordan","Regular Season"
44,"1988-02-02","CHI","@","LAL","L",1,"40:00",14,26,0.54,0,0,NA,11,11,1,1,1,2,4,3,1,3,3,39,29.7,"Michael Jordan","Regular Season"
45,"1988-02-04","CHI","@","PHO","W",1,"37:00",14,27,0.52,0,1,0,9,11,0.82,1,4,5,8,0,1,0,1,37,30.7,"Michael Jordan","Regular Season"
46,"1988-02-09","CHI","","DET","L",1,"42:00",7,22,0.32,0,0,NA,6,8,0.75,1,6,7,9,4,0,2,4,20,15.8,"Michael Jordan","Regular Season"
47,"1988-02-10","CHI","@","NJN","L",1,"37:00",10,23,0.43,0,2,0,14,15,0.93,2,2,4,4,1,3,3,3,34,25.2,"Michael Jordan","Regular Season"
48,"1988-02-12","CHI","@","MIL","W",1,"43:00",9,19,0.47,0,1,0,9,10,0.9,0,6,6,8,0,0,3,3,27,20.1,"Michael Jordan","Regular Season"
49,"1988-02-13","CHI","@","DET","L",1,"40:00",9,22,0.41,0,1,0,9,10,0.9,0,2,2,2,3,2,4,0,27,17.2,"Michael Jordan","Regular Season"
50,"1988-02-15","CHI","","ATL","W",1,"38:00",13,22,0.59,0,0,NA,6,8,0.75,3,10,13,8,5,2,2,2,32,NA,"Michael Jordan","Regular Season"
51,"1988-02-19","CHI","","SAC","W",1,"38:00",19,27,0.7,0,0,NA,11,14,0.79,2,1,3,3,3,3,5,2,49,NA,"Michael Jordan","Regular Season"
52,"1988-02-21","CHI","@","CLE","L",1,"45:00",16,31,0.52,0,2,0,14,15,0.93,1,3,4,9,3,1,3,3,46,NA,"Michael Jordan","Regular Season"
53,"1988-02-23","CHI","","SEA","W",1,"48:00",11,29,0.38,0,0,NA,17,20,0.85,2,7,9,5,4,2,0,4,39,32.7,"Michael Jordan","Regular Season"
54,"1988-02-26","CHI","","POR","L",1,"43:00",21,34,0.62,0,2,0,10,12,0.83,2,6,8,3,2,3,6,5,52,NA,"Michael Jordan","Regular Season"
55,"1988-02-27","CHI","","MIL","L",1,"44:00",16,27,0.59,0,0,NA,6,8,0.75,1,1,2,3,3,3,3,5,38,27.9,"Michael Jordan","Regular Season"
56,"1988-02-29","CHI","@","PHI","L",1,"46:00",13,22,0.59,0,0,NA,9,13,0.69,1,4,5,4,2,0,3,1,35,26.5,"Michael Jordan","Regular Season"
57,"1988-03-03","CHI","","PHI","W",1,"41:00",15,29,0.52,0,0,NA,6,9,0.67,0,10,10,7,3,2,5,4,36,26.2,"Michael Jordan","Regular Season"
58,"1988-03-05","CHI","","LAC","W",1,"27:00",9,13,0.69,0,0,NA,3,4,0.75,0,6,6,4,4,2,2,2,21,22.3,"Michael Jordan","Regular Season"
59,"1988-03-07","CHI","@","NYK","L",1,"44:00",12,24,0.5,0,2,0,14,16,0.88,1,9,10,3,1,0,4,4,38,26.1,"Michael Jordan","Regular Season"
60,"1988-03-10","CHI","","LAL","W",1,"42:00",17,34,0.5,0,1,0,4,4,1,5,4,9,7,3,1,2,2,38,31.5,"Michael Jordan","Regular Season"
61,"1988-03-12","CHI","","SAS","W",1,"34:00",9,22,0.41,0,0,NA,10,12,0.83,3,4,7,6,0,0,2,2,28,20.1,"Michael Jordan","Regular Season"
62,"1988-03-15","CHI","","CLE","W",1,"37:00",17,29,0.59,0,0,NA,4,7,0.57,4,2,6,1,2,1,2,2,38,27.3,"Michael Jordan","Regular Season"
63,"1988-03-16","CHI","@","WSB","L",1,"39:00",10,23,0.43,0,0,NA,5,5,1,3,1,4,5,0,2,3,2,25,16.4,"Michael Jordan","Regular Season"
64,"1988-03-18","CHI","","BOS","W",1,"42:00",19,32,0.59,1,2,0.5,11,11,1,2,3,5,9,5,1,1,4,50,NA,"Michael Jordan","Regular Season"
65,"1988-03-20","CHI","@","BOS","L",1,"39:00",10,18,0.56,0,0,NA,6,8,0.75,0,4,4,7,1,1,5,4,26,17.8,"Michael Jordan","Regular Season"
66,"1988-03-23","CHI","@","PHI","W",1,"42:00",20,35,0.57,0,1,0,9,12,0.75,5,8,13,2,0,2,0,4,49,NA,"Michael Jordan","Regular Season"
67,"1988-03-25","CHI","@","CLE","W",1,"48:00",14,29,0.48,0,0,NA,11,13,0.85,2,6,8,7,2,4,3,3,39,32.2,"Michael Jordan","Regular Season"
68,"1988-03-26","CHI","","IND","W",1,"42:00",16,27,0.59,0,2,0,6,9,0.67,0,3,3,2,3,4,6,2,38,25.6,"Michael Jordan","Regular Season"
69,"1988-03-29","CHI","@","SEA","L",1,"42:00",8,17,0.47,0,0,NA,10,12,0.83,1,3,4,4,2,2,6,3,26,17.1,"Michael Jordan","Regular Season"
70,"1988-03-30","CHI","@","LAC","W",1,"34:00",15,25,0.6,0,0,NA,6,6,1,2,4,6,4,6,0,2,3,36,32.7,"Michael Jordan","Regular Season"
71,"1988-04-01","CHI","@","POR","W",1,"42:00",13,30,0.43,1,2,0.5,11,13,0.85,4,7,11,7,3,0,3,5,38,29.2,"Michael Jordan","Regular Season"
72,"1988-04-03","CHI","@","DET","W",1,"42:00",21,27,0.78,0,1,0,17,19,0.89,2,2,4,6,2,2,1,4,NA,NA,"Michael Jordan","Regular Season"
73,"1988-04-05","CHI","","WSB","L",1,"42:00",12,20,0.6,0,1,0,5,8,0.62,1,2,3,1,4,2,6,4,29,18.4,"Michael Jordan","Regular Season"
74,"1988-04-06","CHI","@","MIL","W",1,"44:00",12,22,0.55,0,0,NA,13,13,1,1,5,6,6,3,1,5,5,37,29.5,"Michael Jordan","Regular Season"
75,"1988-04-08","CHI","","NYK","W",1,"43:00",13,24,0.54,0,0,NA,14,18,0.78,3,3,6,3,NA,1,3,4,40,NA,"Michael Jordan","Regular Season"
76,"1988-04-14","CHI","@","IND","W",1,"38:00",12,28,0.43,0,2,0,11,12,0.92,2,4,6,3,3,1,2,3,35,NA,"Michael Jordan","Regular Season"
77,"1988-04-15","CHI","@","NJN","W",1,"39:00",11,20,0.55,0,0,NA,6,8,0.75,0,0,0,4,2,0,3,5,28,17.4,"Michael Jordan","Regular Season"
78,"1988-04-17","CHI","","MIL","W",1,"38:00",17,29,0.59,0,1,0,10,14,0.71,1,2,3,6,4,3,2,4,44,36.9,"Michael Jordan","Regular Season"
79,"1988-04-19","CHI","@","NYK","W",1,"40:00",18,27,0.67,0,2,0,11,13,0.85,3,2,5,2,2,1,6,4,47,33.7,"Michael Jordan","Regular Season"
80,"1988-04-21","CHI","@","BOS","L",1,"41:00",17,33,0.52,0,2,0,5,6,0.83,3,0,3,8,2,1,4,5,39,26.7,"Michael Jordan","Regular Season"
81,"1988-04-22","CHI","","CLE","L",1,"42:00",12,26,0.46,0,0,NA,2,2,1,1,0,1,7,4,1,2,5,26,18.9,"Michael Jordan","Regular Season"
82,"1988-04-24","CHI","","BOS","W",1,"44:00",16,25,0.64,0,1,0,14,15,0.93,0,6,6,6,1,1,3,3,46,NA,"Michael Jordan","Regular Season"
1,"1988-11-04","CHI","","DET","L",1,"43:00",10,19,0.53,0,2,0,8,12,0.67,1,4,5,7,5,2,2,5,28,26.3,"Michael Jordan","Regular Season"
2,"1988-11-05","CHI","@","WSB","W",1,"39:00",9,21,0.43,0,0,NA,11,12,0.92,0,2,2,7,3,0,5,4,29,19.4,"Michael Jordan","Regular Season"
3,"1988-11-08","CHI","@","NYK","L",1,"39:00",13,21,0.62,2,3,0.67,3,3,1,2,1,3,9,2,0,4,5,31,25.5,"Michael Jordan","Regular Season"
4,"1988-11-09","CHI","@","BOS","W",1,"42:00",18,33,0.55,2,4,0.5,14,16,0.88,0,3,3,2,NA,2,2,4,52,44.4,"Michael Jordan","Regular Season"
5,"1988-11-11","CHI","","NJN","W",1,"41:00",14,24,0.58,0,1,0,8,11,0.73,1,5,6,3,3,4,6,2,36,26.9,"Michael Jordan","Regular Season"
6,"1988-11-12","CHI","@","NJN","L",1,"43:00",17,31,0.55,0,3,0,8,12,0.67,2,5,7,6,3,1,1,2,42,34.5,"Michael Jordan","Regular Season"
7,"1988-11-15","CHI","","PHI","W",1,"43:00",14,27,0.52,0,0,NA,5,6,0.83,1,5,6,6,5,1,3,2,33,27.6,"Michael Jordan","Regular Season"
8,"1988-11-16","CHI","@","PHI","L",1,"43:00",NA,29,NA,0,1,0,4,4,1,3,6,9,1,4,2,4,2,52,NA,"Michael Jordan","Regular Season"
9,"1988-11-18","CHI","","ATL","W",1,"49:00",12,21,0.57,0,0,NA,10,13,0.77,1,8,9,9,1,0,6,4,34,25.7,"Michael Jordan","Regular Season"
10,"1988-11-22","CHI","@","SAC","W",1,"38:00",16,20,0.8,0,0,NA,0,0,NA,1,10,11,8,1,1,2,3,32,32.2,"Michael Jordan","Regular Season"
11,"1988-11-23","CHI","@","LAC","L",1,"41:00",7,15,0.47,1,2,0.5,11,12,0.92,2,10,12,7,5,4,6,4,26,27.4,"Michael Jordan","Regular Season"
12,"1988-11-26","CHI","@","DEN","L",1,"44:00",19,27,0.7,3,5,0.6,11,14,0.79,2,9,11,7,1,0,6,3,52,NA,"Michael Jordan","Regular Season"
13,"1988-11-29","CHI","@","GSW","L",1,"43:00",11,24,0.46,0,1,0,4,4,1,2,8,10,7,4,0,3,3,26,22.1,"Michael Jordan","Regular Season"
14,"1988-11-30","CHI","@","UTA","L",1,"39:00",11,25,0.44,0,1,0,11,13,0.85,4,4,8,5,2,1,3,1,33,25.9,"Michael Jordan","Regular Season"
15,"1988-12-03","CHI","@","DAL","W",1,"43:00",16,31,0.52,0,0,NA,7,8,0.88,3,8,11,6,2,3,2,5,39,32.1,"Michael Jordan","Regular Season"
16,"1988-12-06","CHI","","BOS","W",1,"43:00",14,20,0.7,0,0,NA,10,11,0.91,2,7,9,5,5,0,6,4,38,33.6,"Michael Jordan","Regular Season"
17,"1988-12-07","CHI","@","DET","L",1,"40:00",4,16,0.25,0,0,NA,10,11,0.91,3,4,7,7,1,2,3,1,18,15.2,"Michael Jordan","Regular Season"
18,"1988-12-09","CHI","","MIL","W",1,"40:00",10,17,0.59,0,2,0,15,17,0.88,3,8,11,5,1,1,5,3,35,29.8,"Michael Jordan","Regular Season"
19,"1988-12-10","CHI","","MIA","W",1,"37:00",14,25,0.56,1,2,0.5,9,10,0.9,2,9,11,4,2,0,1,3,38,32.4,"Michael Jordan","Regular Season"
20,"1988-12-13","CHI","","ATL","L",1,"41:00",11,24,0.46,0,1,0,6,6,1,2,12,14,6,2,0,1,3,28,24.6,"Michael Jordan","Regular Season"
21,"1988-12-16","CHI","","IND","W",1,"38:00",10,22,0.45,0,3,0,8,9,0.89,3,4,7,7,6,0,2,4,28,26.8,"Michael Jordan","Regular Season"
22,"1988-12-17","CHI","@","MIL","W",1,"40:00",12,25,0.48,0,1,0,12,12,1,0,6,6,5,3,0,3,2,36,27.8,"Michael Jordan","Regular Season"
23,"1988-12-20","CHI","","LAL","W",1,"39:00",11,23,0.48,2,3,0.67,18,22,0.82,4,3,7,8,4,0,1,0,42,NA,"Michael Jordan","Regular Season"
24,"1988-12-23","CHI","@","CHH","L",1,"41:00",14,26,0.54,0,0,NA,5,6,0.83,2,3,5,4,6,0,7,5,33,22.1,"Michael Jordan","Regular Season"
25,"1988-12-27","CHI","","CLE","L",1,"42:00",18,30,0.6,1,1,1,6,6,1,3,9,12,4,3,0,4,3,43,34.6,"Michael Jordan","Regular Season"
26,"1988-12-29","CHI","","NYK","W",1,"40:00",14,27,0.52,0,2,0,9,12,0.75,1,8,9,3,3,0,3,2,37,26.9,"Michael Jordan","Regular Season"
27,"1988-12-30","CHI","@","IND","W",1,"37:00",13,26,0.5,0,0,NA,5,5,1,2,5,7,4,4,2,2,1,31,26.7,"Michael Jordan","Regular Season"
28,"1989-01-03","CHI","","LAC","W",1,"47:00",15,30,0.5,0,3,0,11,15,0.73,1,9,10,11,6,0,4,5,41,NA,"Michael Jordan","Regular Season"
29,"1989-01-05","CHI","@","CLE","L",1,"41:00",13,24,0.54,1,2,0.5,5,5,1,2,9,11,7,2,0,2,2,32,28.6,"Michael Jordan","Regular Season"
30,"1989-01-06","CHI","","UTA","L",1,"37:00",12,21,0.57,0,0,NA,3,5,0.6,1,4,5,4,2,1,2,2,27,20.9,"Michael Jordan","Regular Season"
31,"1989-01-10","CHI","@","ATL","W",1,"41:00",17,29,0.59,0,2,0,14,16,0.88,4,6,10,9,3,0,4,2,48,42.8,"Michael Jordan","Regular Season"
32,"1989-01-11","CHI","@","CHH","W",1,"40:00",7,15,0.47,0,0,NA,10,11,0.91,1,3,4,10,3,1,6,4,24,20.6,"Michael Jordan","Regular Season"
33,"1989-01-13","CHI","","DEN","W",1,"46:00",13,24,0.54,0,1,0,12,13,0.92,1,11,12,11,3,0,6,4,38,33.1,"Michael Jordan","Regular Season"
34,"1989-01-15","CHI","","BOS","W",1,"41:00",13,23,0.57,0,3,0,16,17,0.94,1,8,9,11,NA,0,2,2,42,46.7,"Michael Jordan","Regular Season"
35,"1989-01-17","CHI","","IND","W",1,"44:00",10,18,0.56,0,1,0,2,4,0.5,1,5,6,13,4,1,2,4,22,NA,"Michael Jordan","Regular Season"
36,"1989-01-19","CHI","@","MIA","W",1,"41:00",14,25,0.56,0,1,0,6,8,0.75,3,2,5,7,2,1,1,3,34,29.4,"Michael Jordan","Regular Season"
37,"1989-01-21","CHI","","PHO","L",1,"41:00",20,28,0.71,0,0,NA,13,15,0.87,1,13,14,8,2,1,4,4,53,NA,"Michael Jordan","Regular Season"
38,"1989-01-24","CHI","","DAL","W",1,"33:00",10,20,0.5,0,1,0,4,5,0.8,1,2,3,6,3,0,1,1,24,20.7,"Michael Jordan","Regular Season"
39,"1989-01-25","CHI","@","PHI","L",1,"45:00",14,25,0.56,0,0,NA,5,5,1,0,6,6,12,2,1,2,5,33,NA,"Michael Jordan","Regular Season"
40,"1989-01-27","CHI","","WSB","W",1,"39:00",14,25,0.56,0,0,NA,5,8,0.62,3,8,11,9,3,1,1,4,33,31.8,"Michael Jordan","Regular Season"
41,"1989-01-31","CHI","","DET","L",1,"41:00",7,24,0.29,0,1,0,7,10,0.7,3,9,12,10,2,1,5,6,21,12.9,"Michael Jordan","Regular Season"
42,"1989-02-02","CHI","","SAC","W",1,"40:00",15,21,0.71,0,0,NA,10,12,0.83,1,6,7,8,4,0,6,2,40,35.8,"Michael Jordan","Regular Season"
43,"1989-02-03","CHI","@","HOU","L",1,"45:00",10,24,0.42,0,1,0,9,12,0.75,2,4,6,10,5,1,3,3,29,26.1,"Michael Jordan","Regular Season"
44,"1989-02-05","CHI","@","DET","L",1,"42:00",10,18,0.56,1,4,0.25,7,8,0.88,2,4,6,10,1,1,1,3,28,28.1,"Michael Jordan","Regular Season"
45,"1989-02-07","CHI","","CHH","W",1,"32:00",11,20,0.55,1,2,0.5,9,10,0.9,2,5,7,5,2,0,3,3,32,26.2,"Michael Jordan","Regular Season"
46,"1989-02-09","CHI","@","SAS","W",1,"43:00",9,20,0.45,0,0,NA,5,8,0.62,3,3,6,9,2,1,6,2,23,16.6,"Michael Jordan","Regular Season"
47,"1989-02-14","CHI","","ATL","L",1,"36:00",11,14,0.79,1,1,1,9,16,0.56,2,3,5,3,3,1,3,4,32,27.3,"Michael Jordan","Regular Season"
48,"1989-02-16","CHI","","MIL","W",1,"40:00",16,26,0.62,1,2,0.5,17,18,0.94,2,6,8,5,3,0,4,4,50,NA,"Michael Jordan","Regular Season"
49,"1989-02-19","CHI","@","MIL","W",1,"40:00",9,19,0.47,0,0,NA,5,6,0.83,0,3,3,9,2,3,7,4,23,15.6,"Michael Jordan","Regular Season"
50,"1989-02-20","CHI","","POR","W",1,"36:00",13,22,0.59,0,0,NA,7,8,0.88,2,4,6,7,1,0,4,3,33,25.7,"Michael Jordan","Regular Season"
51,"1989-02-22","CHI","@","CHH","W",1,"37:00",10,14,0.71,0,1,0,4,5,0.8,0,4,4,5,1,0,6,4,24,15.9,"Michael Jordan","Regular Season"
52,"1989-02-24","CHI","","HOU","W",1,"38:00",10,18,0.56,0,0,NA,13,15,0.87,0,4,4,8,4,0,2,2,33,31.6,"Michael Jordan","Regular Season"
53,"1989-02-25","CHI","@","ATL","L",1,"30:00",7,12,0.58,0,0,NA,4,5,0.8,1,4,5,3,3,0,4,3,18,13.8,"Michael Jordan","Regular Season"
54,"1989-02-28","CHI","","SAS","W",1,"34:00",11,16,0.69,0,0,NA,2,2,1,4,2,6,8,2,1,4,1,24,24.5,"Michael Jordan","Regular Season"
